groupId:artifactId,count,implementation,testImplementation,androidTestImplementation,kapt,classpath,api,annotationProcessor,compile,compileOnly,testCompile,testRuntimeOnly,testRuntime,runtimeOnly
org.jetbrains.kotlinx:kotlinx-serialization-core,42,28,1,0,0,0,11,0,0,2,0,0,0,0
io.kotest:kotest-runner-junit5,21,1,20,0,0,0,0,0,0,0,0,0,0,0
net.ltgt.gradle:gradle-apt-plugin,6,0,0,0,0,6,0,0,0,0,0,0,0,0
io.vertx:vertx-core,23,8,0,0,0,0,2,0,13,0,0,0,0,0
io.vertx:vertx-lang-groovy,1,0,0,0,0,0,0,0,1,0,0,0,0,0
io.vertx:vertx-lang-js,1,0,0,0,0,0,0,0,1,0,0,0,0,0
io.vertx:vertx-service-factory,1,0,0,0,0,0,0,0,1,0,0,0,0,0
io.vertx:vertx-service-proxy,1,0,0,0,0,0,0,0,1,0,0,0,0,0
com.amazonaws:aws-java-sdk-sqs,2,0,0,0,0,0,0,0,2,0,0,0,0,0
nl.komponents.kovenant:kovenant,6,0,0,0,0,0,0,0,5,0,1,0,0,0
io.vertx:vertx-codegen,2,1,0,0,0,0,0,0,0,1,0,0,0,0
io.vertx:vertx-unit,8,0,1,0,0,0,0,0,0,0,7,0,0,0
org.elasticmq:elasticmq-core_2.11,1,0,0,0,0,0,0,0,0,0,1,0,0,0
org.elasticmq:elasticmq-rest-sqs_2.11,1,0,0,0,0,0,0,0,0,0,1,0,0,0
com.soywiz.korlibs:easy-kotlin-mpp-gradle-plugin,14,0,0,0,0,14,0,0,0,0,0,0,0,0
io.insert-koin:koin-core,5,4,0,0,0,0,0,0,1,0,0,0,0,0
commons-io:commons-io,68,33,6,0,0,1,3,0,22,0,3,0,0,0
com.fifesoft:rsyntaxtextarea,5,2,0,0,0,0,0,0,3,0,0,0,0,0
com.tngtech.jgiven:jgiven-junit,1,0,1,0,0,0,0,0,0,0,0,0,0,0
com.tngtech.junit.dataprovider:junit4-dataprovider,1,0,1,0,0,0,0,0,0,0,0,0,0,0
com.github.jruby-gradle:jruby-gradle-plugin,2,1,0,0,0,0,0,0,1,0,0,0,0,0
org.asciidoctor:asciidoctor-gradle-plugin,7,1,0,0,0,5,0,0,1,0,0,0,0,0
org.ysb33r.gradle:vfs-gradle-plugin,2,1,0,0,0,0,0,0,1,0,0,0,0,0
commons-httpclient:commons-httpclient,3,1,0,0,0,0,0,0,2,0,0,0,0,0
org.ajoberstar:gradle-git,2,1,0,0,0,0,0,0,1,0,0,0,0,0
me.champeau.deck2pdf:deck2pdf,2,1,0,0,0,0,0,0,1,0,0,0,0,0
org.asciidoctor:asciidoctorj,6,2,0,0,0,1,0,0,1,2,0,0,0,0
org.mybatis:mybatis,3,1,0,0,0,0,0,0,2,0,0,0,0,0
org.mybatis.dynamic-sql:mybatis-dynamic-sql,1,1,0,0,0,0,0,0,0,0,0,0,0,0
org.hsqldb:hsqldb,9,4,2,0,0,0,0,0,0,0,1,0,0,2
com.willowtreeapps.assertk:assertk,6,3,0,0,0,0,0,0,0,0,3,0,0,0
javax.inject:javax.inject,20,10,0,0,0,0,6,0,3,1,0,0,0,0
com.willowtreeapps.assertk:assertk-jvm,24,2,17,0,0,0,0,0,0,0,5,0,0,0
com.google.devtools.ksp:symbol-processing-api,5,4,0,0,0,0,1,0,0,0,0,0,0,0
com.squareup:kotlinpoet,66,45,3,0,0,0,7,0,11,0,0,0,0,0
org.jetbrains.kotlinx:kotlinx-metadata-jvm,9,7,0,0,0,0,1,0,1,0,0,0,0,0
io.earcam.wrapped:jdk.compiler,1,0,0,0,0,0,0,0,0,1,0,0,0,0
com.github.ajalt:clikt,22,21,0,0,0,0,0,0,1,0,0,0,0,0
org.rauschig:jarchivelib,2,2,0,0,0,0,0,0,0,0,0,0,0,0
org.springframework:spring-context,18,7,0,0,0,0,2,0,8,1,0,0,0,0
org.springframework:spring-aspects,2,1,0,0,0,0,0,0,1,0,0,0,0,0
commons-cli:commons-cli,13,5,0,0,0,0,0,0,8,0,0,0,0,0
com.google.protobuf:protobuf-gradle-plugin,28,3,1,0,0,23,0,0,0,1,0,0,0,0
org.jetbrains.kotlin:kotlin-frontend-plugin,19,0,0,0,0,19,0,0,0,0,0,0,0,0
com.github.cretz.pbandk:pbandk-runtime-js,1,0,0,0,0,0,0,0,1,0,0,0,0,0
com.github.cretz.pbandk:pbandk-runtime-jvm,1,0,0,0,0,0,0,0,1,0,0,0,0,0
org.jetbrains.kotlin:kotlin-native-gradle-plugin,15,0,0,0,0,15,0,0,0,0,0,0,0,0
org.springframework.boot:spring-boot-starter-data-r2dbc,5,5,0,0,0,0,0,0,0,0,0,0,0,0
io.projectreactor.kotlin:reactor-kotlin-extensions,16,12,1,0,0,0,2,0,1,0,0,0,0,0
io.r2dbc:r2dbc-h2,9,6,1,0,0,0,0,0,0,0,0,1,0,1
dev.miku:r2dbc-mysql,2,0,0,0,0,0,0,0,0,0,0,1,0,1
io.r2dbc:r2dbc-postgresql,5,3,0,0,0,0,0,0,0,0,0,1,0,1
mysql:mysql-connector-java,42,11,6,0,0,2,3,0,5,0,1,1,1,12
org.postgresql:postgresql,70,41,3,0,0,2,3,0,8,0,1,1,0,11
org.testcontainers:postgresql,18,2,13,0,0,0,0,0,0,0,2,1,0,0
org.testcontainers:mysql,9,3,4,0,0,0,0,0,1,0,0,1,0,0
org.kodein.di:kodein-di,3,3,0,0,0,0,0,0,0,0,0,0,0,0
io.ktor:ktor-server-cio,14,9,1,0,0,0,3,0,1,0,0,0,0,0
io.ktor:ktor-auth,25,18,4,0,0,0,0,0,3,0,0,0,0,0
org.kodein.di:kodein-di-framework-ktor-server-jvm,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.microsoft.azure:applicationinsights-web-auto,1,1,0,0,0,0,0,0,0,0,0,0,0,0
org.litote.kmongo:kmongo-coroutine-serialization,3,3,0,0,0,0,0,0,0,0,0,0,0,0
io.ktor:ktor-client-serialization,19,16,0,0,0,0,3,0,0,0,0,0,0,0
